gid,funcs
2395,"['GO:0008152', 'GO:0009987']"
2408,"['GO:0032501', 'GO:0009987', 'GO:0065007', 'GO:0032502']"
2418,"['GO:0008152', 'GO:0009987']"
2419,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
2425,['GO:0065007']
2433,['GO:0050896']
2435,['GO:0065007']
2436,['GO:0051179']
2444,"['GO:0008152', 'GO:0009987']"
2445,"['GO:0008152', 'GO:0009987', 'GO:0065007']"
2448,"['GO:0008152', 'GO:0009987']"
2454,"['GO:0008152', 'GO:0009987']"
2463,['GO:0050896']
2466,['GO:0009987']
2476,"['GO:0008152', 'GO:0009987']"
2481,"['GO:0008152', 'GO:0009987']"
2485,"['GO:0008152', 'GO:0009987']"
2487,['GO:0051179']
2491,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
2492,"['GO:0008152', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
2496,"['GO:0008152', 'GO:0009987']"
2498,"['GO:0065007', 'GO:0009987']"
2506,"['GO:0008152', 'GO:0009987']"
2518,"['GO:0051179', 'GO:0009987']"
2531,['GO:0008152']
2535,"['GO:0008152', 'GO:0009987']"
2536,"['GO:0008152', 'GO:0009987']"
2537,['GO:0051179']
2539,"['GO:0008152', 'GO:0009987']"
2544,"['GO:0008152', 'GO:0009987']"
2549,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
2551,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
2553,"['GO:0008152', 'GO:0009987']"
2559,"['GO:0008152', 'GO:0009987']"
2564,"['GO:0051179', 'GO:0009987']"
2566,['GO:0009987']
2567,"['GO:0051179', 'GO:0009987']"
2587,"['GO:0050896', 'GO:0009987']"
2591,"['GO:0008152', 'GO:0009987', 'GO:0065007']"
2592,"['GO:0065007', 'GO:0009987']"
2595,['GO:0032502']
2599,['GO:0009987']
2602,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
2604,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
2605,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
2612,"['GO:0008152', 'GO:0009987']"
2628,"['GO:0051179', 'GO:0009987']"
2630,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
2632,"['GO:0051179', 'GO:0009987', 'GO:0065007']"
2635,"['GO:0008152', 'GO:0009987']"
2644,"['GO:0008152', 'GO:0009987']"
2645,"['GO:0008152', 'GO:0009987']"
2660,['GO:0065007']
2673,['GO:0009987']
2674,"['GO:0008152', 'GO:0009987']"
2677,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
2682,['GO:0065007']
2683,"['GO:0008152', 'GO:0009987']"
2689,"['GO:0008152', 'GO:0009987']"
2697,"['GO:0008152', 'GO:0022414', 'GO:0009987', 'GO:0050896', 'GO:0000003']"
2698,"['GO:0008152', 'GO:0009987']"
2705,['GO:0009987']
2714,['GO:0051179']
2715,"['GO:0008152', 'GO:0009987']"
2716,"['GO:0008152', 'GO:0009987']"
2718,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
2727,['GO:0065007']
2729,"['GO:0065007', 'GO:0009987']"
2736,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
2748,"['GO:0051179', 'GO:0009987']"
2768,['GO:0008152']
2775,"['GO:0008152', 'GO:0009987']"
2776,"['GO:0008152', 'GO:0009987']"
2779,"['GO:0008152', 'GO:0009987']"
2794,"['GO:0008152', 'GO:0009987']"
2805,"['GO:0008152', 'GO:0009987']"
2808,"['GO:0032502', 'GO:0065007', 'GO:0009987']"
2810,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
2827,"['GO:0008152', 'GO:0009987']"
2832,"['GO:0008152', 'GO:0022414', 'GO:0009987', 'GO:0050896', 'GO:0000003']"
2836,"['GO:0008152', 'GO:0009987']"
2838,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
2843,"['GO:0008152', 'GO:0009987']"
2846,['GO:0065007']
2856,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
2857,"['GO:0008152', 'GO:0009987']"
2867,"['GO:0008152', 'GO:0009987']"
2877,['GO:0065007']
2888,['GO:0008152']
2893,"['GO:0051179', 'GO:0009987']"
2895,['GO:0009987']
2896,"['GO:0051179', 'GO:0009987']"
2899,"['GO:0008152', 'GO:0009987']"
2903,"['GO:0051179', 'GO:0009987']"
2904,['GO:0065007']
2908,"['GO:0065007', 'GO:0009987']"
2922,"['GO:0051179', 'GO:0009987']"
2925,"['GO:0051179', 'GO:0009987']"
2927,"['GO:0008152', 'GO:0009987']"
2929,"['GO:0008152', 'GO:0009987']"
2934,['GO:0065007']
2935,['GO:0050896']
2940,"['GO:0023052', 'GO:0065007', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
2945,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
2954,['GO:0065007']
